MCTF BEXA 201904
53567 00.1 1217
53646 00.5 1044
53651 00.2 1260
53658 -0.2 0880
53725 00.6 1281
53735 00.6 0923
53738 01.2 1403
53740 00.4 1156
53748 00.6 1456
53750 -0.0 0963
53751 -0.0 1094
53754 00.3 1501
53756 -0.7 0987
53757 00.6 1419
53832 01.0 1327
53841 00.7 1386
53845 00.3 1172
53848 00.7 1116
53850 00.3 1394
53854 00.4 1284
53857 00.5 1159
53929 00.9 0790
53931 00.6 1051
53938 00.9 0759
53941 00.1 0993
53942 00.6 0869
53944 00.7 0954
53945 00.8 0680
53946 01.0 1071
53947 00.5 0907
53948 -0.3 1648
53949 -0.2 0996
53950 00.2 1084
53955 -0.5 1080
57003 00.5 1415
57016 -0.3 1049
57020 -0.1 1071
57021 00.4 1239
57022 01.1 1229
57023 00.1 0816
57024 00.4 1227
57025 00.3 1157
57026 00.2 1243
57027 00.1 1222
57028 01.4 1114
57029 00.0 1475
57030 00.6 1355
57031 00.7 1384
57032 -0.4 1233
57033 -0.1 1495
57034 -0.1 1334
57035 00.1 1428
57037 00.1 1559
57038 -0.0 1309
57039 -0.1 0900
57040 -0.1 1364
57041 -0.3 1821
57042 -0.1 1515
57043 -0.4 1646
57044 -0.3 1019
57045 -0.4 1095
57046 02.6 0890
57047 00.1 0867
57048 00.0 1388
57049 -0.1 1081
57054 -0.1 1327
57055 -0.1 1396
57057 00.9 1088
57106 -0.3 0993
57113 00.3 1169
57119 -0.5 0972
57123 00.0 1462
57124 00.4 0861
57126 -0.4 0784
57127 -0.6 0808
57128 -0.4 0824
57129 -0.3 0654
57131 -0.7 1656
57132 -0.4 1089
57134 00.4 0777
57137 00.3 0763
57140 00.2 0976
57143 00.1 0995
57144 -0.2 0921
57153 00.0 1122
57154 -0.0 0881
57155 -0.0 1011
57211 00.0 0563
57213 -0.4 0737
57231 -0.6 0523
57232 -0.4 0786
57233 -0.6 0708
57238 -0.1 0470
57242 -0.8 0867
57245 -0.7 0784
57247 -0.3 0979
57248 00.0 0946
57254 -0.5 0687
57343 00.8 0790
